# Generated by tools/models/build_manifest.py - do not edit by hand.
# One row per SPICE definition found in models/spice/.
# restricted=1 means the defining file is marked non-shippable by
# tools/models/license_audit.py, even where its pack is otherwise usable.
# name	kind	device	pack	path	line	restricted
$BSIM3_N	model	mosfet-n	microcap-library	upstream/utility2.lib	4	0
$BSIM3_P	model	mosfet-p	microcap-library	upstream/utility2.lib	37	0
$BSIM4_N	model	mosfet-n	microcap-library	upstream/utility2.lib	71	0
$BSIM4_P	model	mosfet-p	microcap-library	upstream/utility2.lib	137	0
$EKV_N	model	mosfet-n	microcap-library	upstream/utility2.lib	211	0
$EKV_P	model	mosfet-p	microcap-library	upstream/utility2.lib	279	0
.Ga_REDLED	model	diode	ngspice-models-ugr	upstream/Diode_BJT_FET/IdealDiode.lib	15	0
.GaAs_REDLED	model	diode	ngspice-models-ugr	upstream/Diode_BJT_FET/IdealDiode.lib	13	0
.Germanium	model	diode	ngspice-models-ugr	upstream/Diode_BJT_FET/IdealDiode.lib	11	0
.Schottky	model	diode	ngspice-models-ugr	upstream/Diode_BJT_FET/IdealDiode.lib	9	0
.Silicon	model	diode	ngspice-models-ugr	upstream/Diode_BJT_FET/IdealDiode.lib	5	0
.Silicon_GoldDope	model	diode	ngspice-models-ugr	upstream/Diode_BJT_FET/IdealDiode.lib	7	0
014LTHM	subckt	subckt	microcap-library	upstream/On_Semi.lib	179341	1
014LTHM_FC	subckt	subckt	microcap-library	upstream/fairch.lib	7447	0
014LTHM_FC	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/fairch.lib	7447	0
014THM	subckt	subckt	microcap-library	upstream/On_Semi.lib	179269	1
014THM_FC	subckt	subckt	microcap-library	upstream/fairch.lib	7383	0
014THM_FC	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/fairch.lib	7383	0
01N100_D	model	diode	microcap-library	upstream/ixys.lib	5450	0
03063C102KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	892	0
03063C103KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	912	0
03063C104KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	932	0
03063C105KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	952	0
03063C222KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	896	0
03063C223KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	916	0
03063C224KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	936	0
03063C332KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	900	0
03063C333KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	920	0
03063C334KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	940	0
03063C472KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	904	0
03063C473KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	924	0
03063C474KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	944	0
03063C682KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	908	0
03063C683KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	928	0
03063C684KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	948	0
05083C104KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	956	0
05083C105KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	976	0
05083C155KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	980	0
05083C224KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	960	0
05083C334KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	964	0
05083C474KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	968	0
05083C684KAT	subckt	subckt	microcap-library	upstream/AVX_Passives.lib	972	0
0603HS10N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	67	0
0603HS10N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	111	0
0603HS12N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	79	0
0603HS12N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	122	0
0603HS15N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	91	0
0603HS15N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	133	0
0603HS18N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	103	0
0603HS18N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	144	0
0603HS1N8	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	31	0
0603HS1N8	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	78	0
0603HS22N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	115	0
0603HS22N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	155	0
0603HS27N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	127	0
0603HS27N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	166	0
0603HS33N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	139	0
0603HS33N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	177	0
0603HS39N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	151	0
0603HS39N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	188	0
0603HS3N9	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	43	0
0603HS3N9	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	89	0
0603HS47N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	163	0
0603HS47N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	199	0
0603HS56N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	175	0
0603HS56N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	210	0
0603HS68N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	187	0
0603HS68N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	221	0
0603HS6N8	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	55	0
0603HS6N8	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	100	0
0603HS72N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	199	0
0603HS72N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	232	0
0603HS82N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	211	0
0603HS82N	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	243	0
0603HSR10	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	223	0
0603HSR10	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	254	0
0603HSR11	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	235	0
0603HSR11	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	265	0
0603HSR12	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	247	0
0603HSR12	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	276	0
0805030	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	259	0
0805030	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	287	0
0805060	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	271	0
0805060	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	298	0
0805080	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	283	0
0805080	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	309	0
0805101	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	415	0
0805101	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	430	0
0805120	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	295	0
0805120	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	320	0
0805121	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/COILCIND.LIB	427	0
0805121	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/demoind.lib	441	0
