# Generated by tools/models/license_audit.py - do not edit by hand.
# Per-file redistribution findings across models/spice/.
# severity=restricted means the file must not ship in a distributed
# build and must not be embedded in the binary.
# pack	path	marker	severity	line	definitions	evidence
community/microcap-library	upstream/On_Semi.lib	commercial-use-restricted	restricted	3629	21923	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/On_Semi.lib	unpublished-proprietary	review	3625	21923	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/Rohm_Diode.lib	commercial-use-restricted	restricted	152	610	* Commercial Use or Resale Restricted
community/microcap-library	upstream/Rohm_Transistor.lib	commercial-use-restricted	restricted	23707	4713	* Commercial Use or Resale Restricted
community/microcap-library	upstream/Vendor.lib	commercial-use-restricted	restricted	249	14	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/Vendor.lib	unpublished-proprietary	review	245	14	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/apex.lib	commercial-use-restricted	restricted	5033	915	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/apex.lib	unpublished-proprietary	review	5029	915	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/cs.lib	unpublished-proprietary	review	930	1275	* UNPUBLISHED LICENSED SOFTWARE
community/microcap-library	upstream/gensemi.lib	commercial-use-restricted	restricted	115	143	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/gensemi.lib	unpublished-proprietary	review	111	143	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/incompatible/ad.lib	commercial-use-restricted	restricted	27	20	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/incompatible/ad.lib	unpublished-proprietary	review	23	20	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/irf.lib	commercial-use-restricted	restricted	10	7333	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/irf.lib	unpublished-proprietary	review	6	7333	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/m_ic.lib	commercial-use-restricted	restricted	979	109	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/m_ic.lib	unpublished-proprietary	review	975	109	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/m_igbt.lib	commercial-use-restricted	restricted	10	15	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/m_igbt.lib	unpublished-proprietary	review	6	15	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/m_powbjt.lib	commercial-use-restricted	restricted	9	14	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/m_powbjt.lib	unpublished-proprietary	review	5	14	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/m_rect.lib	commercial-use-restricted	restricted	9	36	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/m_rect.lib	unpublished-proprietary	review	5	36	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/m_small.lib	commercial-use-restricted	restricted	9	55	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/m_small.lib	unpublished-proprietary	review	5	55	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/m_tmos.lib	commercial-use-restricted	restricted	1323	761	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/m_tmos.lib	unpublished-proprietary	review	1319	761	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/m_zener.lib	commercial-use-restricted	restricted	10	119	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/m_zener.lib	unpublished-proprietary	review	6	119	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/mc.lib	commercial-use-restricted	restricted	11784	491	* Commercial Use or Resale Restricted by *
community/microcap-library	upstream/mc.lib	unpublished-proprietary	review	11781	491	* Contains Proprietary Information Which *
community/microcap-library	upstream/nation.lib	commercial-use-restricted	restricted	31008	2785	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/nation.lib	confidential	restricted	55428	2785	* NATIONAL SEMICONDUCTOR CONFIDENTIAL
community/microcap-library	upstream/nation.lib	unpublished-proprietary	review	31004	2785	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/nichicon.LIB	confidential	restricted	2	48	* NICHICON CORPORATION and MoDeCH confidential
community/microcap-library	upstream/on_bjt.lib	commercial-use-restricted	restricted	13	723	* Commercial Use or Resale Restricted *
community/microcap-library	upstream/on_bjt.lib	unpublished-proprietary	review	10	723	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/on_diode.lib	commercial-use-restricted	restricted	88	2415	* Commercial Use or Resale Restricted *
community/microcap-library	upstream/on_diode.lib	unpublished-proprietary	review	85	2415	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/on_driver.lib	commercial-use-restricted	restricted	11	62	* Commercial Use or Resale Restricted *
community/microcap-library	upstream/on_driver.lib	unpublished-proprietary	review	8	62	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/on_fet.lib	commercial-use-restricted	restricted	14	2461	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/on_fet.lib	unpublished-proprietary	review	10	2461	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/on_filter.lib	commercial-use-restricted	restricted	12	162	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/on_filter.lib	unpublished-proprietary	review	8	162	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/on_rect.lib	commercial-use-restricted	restricted	12	100	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/on_rect.lib	unpublished-proprietary	review	8	100	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/on_thyristor.lib	commercial-use-restricted	restricted	9	146	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/onsemi.lib	commercial-use-restricted	restricted	11	386	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/onsemi.lib	unpublished-proprietary	review	7	386	* UNPUBLISHED LICENSED SOFTWARE *
community/microcap-library	upstream/vishaydiode.lib	commercial-use-restricted	restricted	93	1589	*Commercial Use or Resale Restricted *
community/microcap-library	upstream/vishaydiode.lib	unpublished-proprietary	review	89	1589	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/D44VH10.LIB	commercial-use-restricted	restricted	10	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/D44VH10.LIB	unpublished-proprietary	review	6	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/GenSemiTVS1.lib	commercial-use-restricted	restricted	44	111	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/GenSemiTVS1.lib	unpublished-proprietary	review	40	111	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/GenSemiTVS2.lib	commercial-use-restricted	restricted	335	246	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/GenSemiTVS2.lib	unpublished-proprietary	review	331	246	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/GenSemiUltraRect.lib	commercial-use-restricted	restricted	347	50	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/GenSemiUltraRect.lib	unpublished-proprietary	review	343	50	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/SemiGenSchottkyRect.lib	commercial-use-restricted	restricted	356	69	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/SemiGenSchottkyRect.lib	unpublished-proprietary	review	352	69	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/ad.lib	commercial-use-restricted	restricted	27	20	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/ad.lib	unpublished-proprietary	review	23	20	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/gensemi.lib	commercial-use-restricted	restricted	115	143	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/gensemi.lib	unpublished-proprietary	review	111	143	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/irf.lib	commercial-use-restricted	restricted	10	2249	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/irf.lib	unpublished-proprietary	review	6	2249	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/m_ic.lib	commercial-use-restricted	restricted	979	109	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/m_ic.lib	unpublished-proprietary	review	975	109	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/m_igbt.lib	commercial-use-restricted	restricted	10	15	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/m_igbt.lib	unpublished-proprietary	review	6	15	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/m_powbjt.lib	commercial-use-restricted	restricted	9	14	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/m_powbjt.lib	unpublished-proprietary	review	5	14	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/m_rect.lib	commercial-use-restricted	restricted	9	36	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/m_rect.lib	unpublished-proprietary	review	5	36	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/m_small.lib	commercial-use-restricted	restricted	9	55	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/m_small.lib	unpublished-proprietary	review	5	55	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/m_tmos.lib	commercial-use-restricted	restricted	1323	761	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/m_tmos.lib	unpublished-proprietary	review	1319	761	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/m_zener.lib	commercial-use-restricted	restricted	10	119	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/m_zener.lib	unpublished-proprietary	review	6	119	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/nation.lib	commercial-use-restricted	restricted	28308	1203	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/nation.lib	unpublished-proprietary	review	28304	1203	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/nec_mos.lib	commercial-use-restricted	restricted	8	898	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/onsemi.lib	commercial-use-restricted	restricted	11	381	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/onsemi.lib	unpublished-proprietary	review	7	381	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/MOS_3TEN/INTRNTL2.LIB	commercial-use-restricted	restricted	12	1379	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/MOS_3TEN/INTRNTL2.LIB	unpublished-proprietary	review	8	1379	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/10bq100.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/10bq100.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/10ctq150.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/10ctq150.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/10mq060n.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/10mq060n.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/10tq045.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/10tq045.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/12cgq150.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/12cgq150.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/12ctq045.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/12ctq045.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/12tq045.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/12tq045.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/15cgq100.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/15cgq100.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/15eth06.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/15eth06.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/15ljq100.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/15ljq100.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/160cmq045.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/160cmq045.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/18tq045.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/18tq045.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/20cjq030.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/20cjq030.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/22gq100.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/22gq100.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/2n7269.spi	commercial-use-restricted	restricted	10	6	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/2n7269.spi	unpublished-proprietary	review	6	6	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/30cljq045.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/30cljq045.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/30cljq150.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/30cljq150.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/30ctq060s.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/30ctq060s.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/30ljq045.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/30ljq045.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/30ljq100.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/30ljq100.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/30ljq150.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/30ljq150.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/30scljq030.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/30scljq030.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/30sljq030.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/30sljq030.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/35cgq100.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/35cgq100.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/35clq045.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/35clq045.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/40cpq060.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/40cpq060.spi	unpublished-proprietary	review	5	1	* UNPUBLISHED LICENSED SOFTWARE *
community/ngspice-models-ugr	upstream/spice_complete/other_models/ir_lib/40eps08.spi	commercial-use-restricted	restricted	9	1	*Commercial Use or Resale Restricted *
