# Generated by tools/models/build_manifest.py - do not edit by hand.
# Pack index for runtime discovery; MANIFEST.toml is the same data in
# a human-readable form.
# id	category	path	tier	spdx	redistributable	entry	models	subcircuits	files	bytes	devices	name
mosis-bsim	academic	academic/mosis-bsim	permissive	BSD-3-Clause	1		1818	0	2528	8197250	nmos,pmos	MOSIS wafer-test BSIM model collections
sjtu-bsim-ptm	academic	academic/sjtu-bsim-ptm	ambiguous	CC-BY-4.0	1		58	20	58	532414	nmos,pmos,finfet	SJTU BSIM and PTM model collection
builtin	builtin	builtin	own	LicenseRef-RSpice	1	lib/diode.lib	59	11	6	42848	diode,zener,led,bjt,mosfet,opamp	RSpice built-in starter library
microcap-library	community	community/microcap-library	ambiguous	NOASSERTION	0		109508	38485	181	43897783	opamp,comparator,regulator,mosfet,igbt,bipolar,diode,rectifier,passive,logic,optocoupler,tube	Micro-Cap 12 model library, ngspice port
ngspice-74hc-kicad	community	community/ngspice-74hc-kicad	ambiguous	NOASSERTION	0		11	26	14	10567	logic	74HC logic models for KiCad
ngspice-74xx-logic	community	community/ngspice-74xx-logic	ambiguous	NOASSERTION	0		338	481	1	370594	logic	74-series logic model collection
ngspice-basic-models	community	community/ngspice-basic-models	ambiguous	NOASSERTION	0		74	52	28	61224	bipolar,diode,jfet,led,mosfet,opamp,regulator	ngspice basic device model set
ngspice-models-ugr	community	community/ngspice-models-ugr	ambiguous	NOASSERTION	0		65896	27674	1828	36213168	bipolar,diode,jfet,mosfet,opamp,subcircuit	University of Granada legacy model collection
ngspice-special-models	community	community/ngspice-special-models	ambiguous	NOASSERTION	0		32	11	8	24824	timer,opamp,function-generator	ngspice special-function IC models
asap7	foundry	foundry/asap7	permissive	BSD-3-Clause	1	upstream/models/hspice/7nm_TT.pm	24	0	7	128156	nfet,pfet	ASAP7 7 nm predictive FinFET models
gf180mcu	foundry	foundry/gf180mcu	permissive	Apache-2.0	1	upstream/models/ngspice/sm141064.ngspice	542	162	9	2196792	nmos,pmos,diode,resistor,capacitor,bipolar	GlobalFoundries GF180MCU primitive device models
ihp-sg13g2	foundry	foundry/ihp-sg13g2	permissive	Apache-2.0	1	upstream/ihp-sg13g2/libs.tech/ngspice/models/cornerMOSlv.lib	108	96	94	1214473	hbt,nmos,pmos,diode,schottky,resistor,capacitor,varactor,esd,bondpad	IHP SG13G2 130 nm SiGe BiCMOS device models
sky130	foundry	foundry/sky130	permissive	Apache-2.0	1	upstream/models/sky130.lib.spice	6196	511	943	52713740	nfet,pfet,diode,resistor,capacitor,bipolar,inductor,esd	SkyWater SKY130 primitive device models
diodes-inc	vendor	vendor/diodes-inc	ambiguous	NOASSERTION	0	upstream/diodes-spicemodels-all.txt	5591	1336	1	1489898	diode,rectifier,schottky,zener,bipolar,mosfet	Diodes Incorporated complete SPICE model library
interfet-jfet	vendor	vendor/interfet-jfet	ambiguous	NOASSERTION	0	upstream/interfet-standard.jft	898	0	1	166867	jfet	InterFET standard JFET model library
